"0"|"19557575P"|"MARIA CARMEN"|"GARCIA"|"GONZALEZ"|"maria carmen.garcia115@gmail.com"|"5069358226"|"1977-08-12"|"C/        Iglesia, 8                  44155 Ababuj"
"1"|"72372124W"|"MARIA"|"RODRIGUEZ"|"FERNANDEZ"|"maria.rodriguez808@hotmail.com"|"7206010974"|"2018-01-28"|"C/        Santo Cristo, 1             40141 Abades"
"2"|"49465963R"|"CARMEN"|"LOPEZ"|"MARTINEZ"|"carmen.lopez389@hotmail.com"|"2098606090"|"2006-01-13"|"Plaza     de Espaï¿½a, 3                10748 Abadï¿½a"
"3"|"74795507J"|"JOSEFA"|"SANCHEZ"|"PEREZ"|"josefa.sanchez531@hotmail.com"|"5010868711"|"1976-07-28"|"C/        General Franco, 29          27730 Abadï¿½n"
"4"|"96939599G"|"ISABEL"|"GOMEZ"|"MARTIN"|"isabel.gomez463@outlook.com"|"9922120614"|"1951-04-07"|"          San Trokaz Plaza, s/n       48220 Abadiï¿½o"
"5"|"23055156W"|"ANA MARIA"|"JIMENEZ"|"RUIZ"|"ana maria.jimenez467@protonmail.com"|"5911304124"|"1980-12-16"|"C/        San Vicente, s/n            31280 Abï¿½igar"
"6"|"67102857N"|"MARIA DOLORES"|"HERNANDEZ"|"DIAZ"|"maria dolores.hernandez587@gmail.com"|"3099591824"|"2009-02-21"|"Ctra.     Villarcayo, s/n             09141 Abajas"
"7"|"21836511N"|"MARIA PILAR"|"MORENO"|"ALVAREZ"|"maria pilar.moreno204@gmail.com"|"2360333194"|"1988-04-09"|Plaza     Martï¿½n Fernï¿½ndez de Navarret26339 ï¿½balos
"8"|"44804211G"|"MARIA TERESA"|"MUÃ‘OZ"|"ROMERO"|"maria teresa.muã‘oz862@yahoo.com"|"3654190035"|"1954-04-13"|"Plaza     de San Juan, s/n            20269 Abaltzisketa"
"9"|"96570952R"|"ANA"|"ALONSO"|"GUTIERREZ"|"ana.alonso601@outlook.com"|"7058189241"|"1956-12-19"|"Calle     Real,1                      19432 Abï¿½nades"
"10"|"68142781Z"|"LAURA"|"NAVARRO"|"TORRES"|"laura.navarro809@outlook.com"|"7851126857"|"1963-08-13"|"Plaza     de la Constituciï¿½n, 1       30640 Abanilla"
"11"|"34423193J"|"FRANCISCA"|"DOMINGUEZ"|"VAZQUEZ"|"francisca.dominguez631@hotmail.com"|"2265520748"|"1960-07-19"|Av.       del Minero                  20288 Abanto
"12"|"14322788K"|"ANTONIA"|"RAMOS"|"GIL"|"antonia.ramos337@gmail.com"|"2234908399"|"1967-08-05"|"Av.       dell Minero, 2              48500 Abanto y Ciï¿½rvana-Abanto Zierbena"
"13"|"88946220E"|"DOLORES"|"RAMIREZ"|"SERRANO"|"dolores.ramirez983@protonmail.com"|"7651967909"|"1989-05-03"|"Plaza     Vieja, 1                    30550 Abarï¿½n"
"14"|"14471103D"|"MARIA ANGELES"|"BLANCO"|"SUAREZ"|"maria angeles.blanco341@yahoo.com"|"5768383284"|"1972-08-28"|"Calle     Mayor, 5                    34338 Abarca de Campos"
"15"|"49926902C"|"CRISTINA"|"MOLINA"|"MORALES"|"cristina.molina651@hotmail.com"|"8447925480"|"2009-09-07"|"Plaza     Mayor, s/n                  31178 Abï¿½rzuza"
"16"|"32719938T"|"MARTA"|"ORTEGA"|"DELGADO"|"marta.ortega951@gmail.com"|"8370000664"|"1993-01-21"|"C/        San Pedro, 16               31692 Abaurregaina/Abaurrea Alta"
